home_team_ru;home_slug;away_team_ru;away_slug;distance_km
Нефтехимик;neftekhimik;Автомобилист;avtomobilist;557.3
Нефтехимик;neftekhimik;Адмирал;admiral;5618.2
Нефтехимик;neftekhimik;Ак Барс;ak_bars;170.4
Нефтехимик;neftekhimik;Амур;amur;5399.3
Нефтехимик;neftekhimik;Барыс;barys;1388.8
Нефтехимик;neftekhimik;Динамо М;dynamo_msk;891.2
Нефтехимик;neftekhimik;Динамо Мн;dinamo_mn;1562.5
Нефтехимик;neftekhimik;Лада;lada;279.5
Нефтехимик;neftekhimik;Локомотив;lokomotiv;760.6
Нефтехимик;neftekhimik;Металлург Мг;metallurg_mg;525.5
Нефтехимик;neftekhimik;Северсталь;severstal;915.8
Нефтехимик;neftekhimik;Сибирь;sibir;1953.2
Нефтехимик;neftekhimik;СКА;ska;1345.7
Нефтехимик;neftekhimik;ХК Сочи;hc_sochi;1602.2
Нефтехимик;neftekhimik;Спартак;spartak;898.1
Нефтехимик;neftekhimik;Салават Юлаев;salavat_yulaev;281.7
Нефтехимик;neftekhimik;Торпедо;torpedo;491.1
Нефтехимик;neftekhimik;Трактор;traktor;610.1
Нефтехимик;neftekhimik;ЦСКА;cska;886.2
Нефтехимик;neftekhimik;Драконы;kunlun;1345.7
Северсталь;severstal;Авангард;avangard;2164.1
Северсталь;severstal;Автомобилист;avtomobilist;1352.3
Северсталь;severstal;Адмирал;admiral;6208.2
Северсталь;severstal;Ак Барс;ak_bars;761.4
Северсталь;severstal;Амур;amur;5905.5
Северсталь;severstal;Барыс;barys;2278.3
Северсталь;severstal;Динамо М;dynamo_msk;371.8
Северсталь;severstal;Динамо Мн;dinamo_mn;860.8
Северсталь;severstal;Лада;lada;937.4
Северсталь;severstal;Локомотив;lokomotiv;201.2
Северсталь;severstal;Металлург Мг;metallurg_mg;1439.5
Северсталь;severstal;Нефтехимик;neftekhimik;915.8
Северсталь;severstal;Сибирь;sibir;2703.6
Северсталь;severstal;СКА;ska;431.1
Северсталь;severstal;ХК Сочи;hc_sochi;1754.1
Северсталь;severstal;Спартак;spartak;369.3
Северсталь;severstal;Салават Юлаев;salavat_yulaev;1193.0
Северсталь;severstal;Торпедо;torpedo;477.0
Северсталь;severstal;Трактор;traktor;1477.0
Северсталь;severstal;ЦСКА;cska;380.6
Северсталь;severstal;Драконы;kunlun;431.1
Сибирь;sibir;Авангард;avangard;609.7
Сибирь;sibir;Автомобилист;avtomobilist;1400.7
Сибирь;sibir;Адмирал;admiral;3711.0
Сибирь;sibir;Ак Барс;ak_bars;2114.9
Сибирь;sibir;Амур;amur;3574.4
Сибирь;sibir;Барыс;barys;885.6
Сибирь;sibir;Динамо М;dynamo_msk;2813.8
Сибирь;sibir;Динамо Мн;dinamo_mn;3488.6
Сибирь;sibir;Лада;lada;2162.7
Сибирь;sibir;Локомотив;lokomotiv;2623.2
Сибирь;sibir;Металлург Мг;metallurg_mg;1557.5
Сибирь;sibir;Нефтехимик;neftekhimik;1953.2
Сибирь;sibir;Северсталь;severstal;2703.6
Сибирь;sibir;СКА;ska;3101.9
Сибирь;sibir;ХК Сочи;hc_sochi;3314.6
Сибирь;sibir;Спартак;spartak;2819.8
Сибирь;sibir;Салават Юлаев;salavat_yulaev;1715.2
Сибирь;sibir;Торпедо;torpedo;2412.4
Сибирь;sibir;Трактор;traktor;1362.7
Сибирь;sibir;ЦСКА;cska;2811.0
Сибирь;sibir;Драконы;kunlun;3101.9
СКА;ska;Авангард;avangard;2579.1
СКА;ska;Автомобилист;avtomobilist;1775.2
СКА;ska;Адмирал;admiral;6530.6
СКА;ska;Ак Барс;ak_bars;1188.2
СКА;ska;Амур;amur;6196.6
СКА;ska;Барыс;barys;2707.7
СКА;ska;Динамо М;dynamo_msk;617.5
СКА;ska;Динамо Мн;dinamo_mn;681.6
СКА;ska;Лада;lada;1345.7
СКА;ska;Локомотив;lokomotiv;598.5
СКА;ska;Металлург Мг;metallurg_mg;1870.2
СКА;ska;Нефтехимик;neftekhimik;1345.7
СКА;ska;Северсталь;severstal;431.1
СКА;ska;Сибирь;sibir;3101.9
СКА;ska;ХК Сочи;hc_sochi;1938.7
СКА;ska;Спартак;spartak;610.6
СКА;ska;Салават Юлаев;salavat_yulaev;1623.9
СКА;ska;Торпедо;torpedo;887.6
СКА;ska;Трактор;traktor;1905.8
СКА;ska;ЦСКА;cska;628.3
СКА;ska;Драконы;kunlun;0.0
ХК Сочи;hc_sochi;Авангард;avangard;2712.5
ХК Сочи;hc_sochi;Автомобилист;avtomobilist;2079.7
ХК Сочи;hc_sochi;Адмирал;admiral;7018.9
ХК Сочи;hc_sochi;Ак Барс;ak_bars;1527.4
ХК Сочи;hc_sochi;Амур;amur;6880.0
ХК Сочи;hc_sochi;Барыс;barys;2499.9
ХК Сочи;hc_sochi;Динамо М;dynamo_msk;1388.0
ХК Сочи;hc_sochi;Динамо Мн;dinamo_mn;1481.1
ХК Сочи;hc_sochi;Лада;lada;1322.9
ХК Сочи;hc_sochi;Локомотив;lokomotiv;1583.3
ХК Сочи;hc_sochi;Металлург Мг;metallurg_mg;1785.0
ХК Сочи;hc_sochi;Нефтехимик;neftekhimik;1602.2
ХК Сочи;hc_sochi;Северсталь;severstal;1754.1
ХК Сочи;hc_sochi;Сибирь;sibir;3314.6
ХК Сочи;hc_sochi;СКА;ska;1938.7
ХК Сочи;hc_sochi;Спартак;spartak;1392.0
ХК Сочи;hc_sochi;Салават Юлаев;salavat_yulaev;1708.7
ХК Сочи;hc_sochi;Торпедо;torpedo;1464.5
ХК Сочи;hc_sochi;Трактор;traktor;2018.7
ХК Сочи;hc_sochi;ЦСКА;cska;1378.2
ХК Сочи;hc_sochi;Драконы;kunlun;1938.7
Спартак;spartak;Авангард;avangard;2244.3
Спартак;spartak;Автомобилист;avtomobilist;1423.6
Спартак;spartak;Адмирал;admiral;6415.6
Спартак;spartak;Ак Барс;ak_bars;727.7
Спартак;spartak;Амур;amur;6144.4
Спартак;spartak;Барыс;barys;2283.9
Спартак;spartak;Динамо М;dynamo_msk;7.8
Спартак;spartak;Динамо Мн;dinamo_mn;669.7
Спартак;spartak;Лада;lada;806.5
Спартак;spartak;Локомотив;lokomotiv;252.0
Спартак;spartak;Металлург Мг;metallurg_mg;1407.7
Спартак;spartak;Нефтехимик;neftekhimik;898.1
Спартак;spartak;Северсталь;severstal;369.3
Спартак;spartak;Сибирь;sibir;2819.8
Спартак;spartak;СКА;ska;610.6
Спартак;spartak;ХК Сочи;hc_sochi;1392.0
Спартак;spartak;Салават Юлаев;salavat_yulaev;1175.1
Спартак;spartak;Торпедо;torpedo;410.8
Спартак;spartak;Трактор;traktor;1506.1
Спартак;spartak;ЦСКА;cska;17.8
Спартак;spartak;Драконы;kunlun;610.6
Салават Юлаев;salavat_yulaev;Авангард;avangard;1111.7
Салават Юлаев;salavat_yulaev;Автомобилист;avtomobilist;370.9
Салават Юлаев;salavat_yulaev;Адмирал;admiral;5406.9
Салават Юлаев;salavat_yulaev;Ак Барс;ak_bars;450.1
Салават Юлаев;salavat_yulaev;Амур;amur;5212.8
Салават Юлаев;salavat_yulaev;Барыс;barys;1109.0
Салават Юлаев;salavat_yulaev;Динамо М;dynamo_msk;1168.0
Салават Юлаев;salavat_yulaev;Динамо Мн;dinamo_mn;1834.9
Салават Юлаев;salavat_yulaev;Лада;lada;447.7
Салават Юлаев;salavat_yulaev;Локомотив;lokomotiv;1042.0
Салават Юлаев;salavat_yulaev;Металлург Мг;metallurg_mg;246.9
Салават Юлаев;salavat_yulaev;Нефтехимик;neftekhimik;281.7
Салават Юлаев;salavat_yulaev;Северсталь;severstal;1193.0
Салават Юлаев;salavat_yulaev;Сибирь;sibir;1715.2
Салават Юлаев;salavat_yulaev;СКА;ska;1623.9
Салават Юлаев;salavat_yulaev;ХК Сочи;hc_sochi;1708.7
Салават Юлаев;salavat_yulaev;Спартак;spartak;1175.1
Салават Юлаев;salavat_yulaev;Торпедо;torpedo;771.5
Салават Юлаев;salavat_yulaev;Трактор;traktor;353.0
Салават Юлаев;salavat_yulaev;ЦСКА;cska;1162.6
Салават Юлаев;salavat_yulaev;Драконы;kunlun;1623.9
Торпедо;torpedo;Авангард;avangard;1833.8
Торпедо;torpedo;Автомобилист;avtomobilist;1013.9
Торпедо;torpedo;Адмирал;admiral;6031.4
Торпедо;torpedo;Ак Барс;ak_bars;321.4
Торпедо;torpedo;Амур;amur;5778.5
Торпедо;torpedo;Барыс;barys;1879.9
Торпедо;torpedo;Динамо М;dynamo_msk;404.3
Торпедо;torpedo;Динамо Мн;dinamo_mn;1080.0
Торпедо;torpedo;Лада;lada;460.9
Торпедо;torpedo;Локомотив;lokomotiv;289.1
Торпедо;torpedo;Металлург Мг;metallurg_mg;1010.3
Торпедо;torpedo;Нефтехимик;neftekhimik;491.1
Торпедо;torpedo;Северсталь;severstal;477.0
Торпедо;torpedo;Сибирь;sibir;2412.4
Торпедо;torpedo;СКА;ska;887.6
Торпедо;torpedo;ХК Сочи;hc_sochi;1464.5
Торпедо;torpedo;Спартак;spartak;410.8
Торпедо;torpedo;Салават Юлаев;salavat_yulaev;771.5
Торпедо;torpedo;Трактор;traktor;1096.2
Торпедо;torpedo;ЦСКА;cska;400.5
Торпедо;torpedo;Драконы;kunlun;887.6
Трактор;traktor;Авангард;avangard;758.8
Трактор;traktor;Автомобилист;avtomobilist;195.0
Трактор;traktor;Адмирал;admiral;5059.5
Трактор;traktor;Ак Барс;ak_bars;779.5
Трактор;traktor;Амур;amur;4876.5
Трактор;traktor;Барыс;barys;802.1
Трактор;traktor;Динамо М;dynamo_msk;1499.3
Трактор;traktor;Динамо Мн;dinamo_mn;2172.3
Трактор;traktor;Лада;lada;800.0
Трактор;traktor;Локомотив;lokomotiv;1348.3
Трактор;traktor;Металлург Мг;metallurg_mg;247.8
Трактор;traktor;Нефтехимик;neftekhimik;610.1
Трактор;traktor;Северсталь;severstal;1477.0
Трактор;traktor;Сибирь;sibir;1362.7
Трактор;traktor;СКА;ska;1905.8
Трактор;traktor;ХК Сочи;hc_sochi;2018.7
Трактор;traktor;Спартак;spartak;1506.1
Трактор;traktor;Салават Юлаев;salavat_yulaev;353.0
Трактор;traktor;Торпедо;torpedo;1096.2
