uid,home,away,start_msk,start_utc,text_url,source
897561,"Динамо Мн","Барыс","2025-09-22T19:10:00+03:00","2025-09-22T16:10:00+00:00","https://text.khl.ru/text/897561.html","text"
897560,"Драконы","Торпедо","2025-09-22T19:30:00+03:00","2025-09-22T16:30:00+00:00","https://text.khl.ru/text/897560.html","text"
897564,"Сибирь","Северсталь","2025-09-22T19:58:00+03:00","2025-09-22T16:58:00+00:00","https://text.khl.ru/text/897564.html","text"
897562,"Амур","Динамо М","2025-09-22T21:40:00+03:00","2025-09-22T18:40:00+00:00","https://text.khl.ru/text/897562.html","text"
897567,"Металлург Мг","Спартак","2025-09-23T05:39:00+03:00","2025-09-23T02:39:00+00:00","https://text.khl.ru/text/897567.html","text"
897565,"Адмирал","ЦСКА","2025-09-23T11:22:00+03:00","2025-09-23T08:22:00+00:00","https://text.khl.ru/text/897565.html","text"
897566,"СКА","Авангард","2025-09-23T14:44:00+03:00","2025-09-23T11:44:00+00:00","https://text.khl.ru/text/897566.html","text"
897569,"Динамо Мн","Торпедо","2025-09-24T07:06:00+03:00","2025-09-24T04:06:00+00:00","https://text.khl.ru/text/897569.html","text"
897573,"Лада","ХК Сочи","2025-09-24T11:55:00+03:00","2025-09-24T08:55:00+00:00","https://text.khl.ru/text/897573.html","text"
897568,"Нефтехимик","Автомобилист","2025-09-24T12:58:00+03:00","2025-09-24T09:58:00+00:00","https://text.khl.ru/text/897568.html","text"
897572,"Сибирь","Салават Юлаев","2025-09-24T13:12:00+03:00","2025-09-24T10:12:00+00:00","https://text.khl.ru/text/897572.html","text"
897571,"Динамо М","Драконы","2025-09-24T16:20:00+03:00","2025-09-24T13:20:00+00:00","https://text.khl.ru/text/897571.html","text"
897570,"Локомотив","Северсталь","2025-09-24T19:00:00+03:00","2025-09-24T16:00:00+00:00","https://text.khl.ru/text/897570.html","text"
897574,"Барыс","Ак Барс","2025-09-25T00:14:00+03:00","2025-09-24T21:14:00+00:00","https://text.khl.ru/text/897574.html","text"
